"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"881","#ElectionReform #JillStein #RankedChoiceVoting #Maine #BreakThe2PartyTrap <U+2705><ed><U+00A0><U+00BD><ed><U+00B7><U+00B3> https://t.co/70zxbnp6FW",FALSE,2,NA,2016-11-11 22:22:13,FALSE,NA,"797202800971157505",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BernieEvents",0,FALSE,FALSE,NA,NA
"882","Enemy of the people. @DrJillStein  
 @GovGaryJohnson. #JillStein #GaryJohnson",FALSE,0,NA,2016-11-11 22:09:36,FALSE,NA,"797199625811791873",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nyc_oz",0,FALSE,FALSE,NA,NA
"883","RT @TedGrunewald: #JillStein voters did not deliver #DonaldtRump the presidency.
Stop blaming third-party voters for tRump's victory.
https…",FALSE,0,NA,2016-11-11 22:08:13,FALSE,NA,"797199275142877184",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","rozmcdermott",3,TRUE,FALSE,NA,NA
"884","#JillStein voters did not deliver #DonaldtRump the presidency.
Stop blaming third-party voters for tRump's victory.
https://t.co/bIrWXvedK9",FALSE,2,NA,2016-11-11 22:01:40,FALSE,NA,"797197629180538884",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TedGrunewald",3,FALSE,FALSE,NA,NA
"885","I hope #GaryJohnson &amp; #JillStein--are pleased thar they helped elect #DonaldTrump https://t.co/uyKRuaGAkF",FALSE,0,NA,2016-11-11 21:56:05,FALSE,NA,"797196225053331456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","laurenskahn",0,FALSE,FALSE,NA,NA
"886","@_belle_curve_
#JillStein was a great choice--maybe the #BestChoice.
#GreenParty=great party.
But #ZeroParties is best.",FALSE,0,"_belle_curve_",2016-11-11 21:54:40,FALSE,"797189967088943104","797195867237257217","1165934089","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BrianGPowell",0,FALSE,FALSE,NA,NA
"887","In Michigan #Trump got ~12K more  votes. #JillStein got ~50K votes. @HillaryClinton needs ~24% of those or ~5% of a… https://t.co/NkiQCVFBnL",FALSE,0,NA,2016-11-11 21:52:57,TRUE,NA,"797195435253395456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","immoderator",0,FALSE,FALSE,NA,NA
"888","#GaryJohnson #JillStein #GreenParty #Libertarian #3rdParty #notdemocrat #notrepublican",FALSE,1,"STAMB04",2016-11-11 21:49:32,FALSE,"797183664165715968","797194573831348225","721781416464379904","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","STAMB04",0,FALSE,FALSE,NA,NA
"889","That' what the #GreenParty was doing when everyone decided not to pay attention. Go green now, they're already on t… https://t.co/ay8hZhqsMw",FALSE,2,NA,2016-11-11 21:47:34,TRUE,NA,"797194078609772544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheHighLifeGame",1,FALSE,FALSE,NA,NA
"890","RT @JohnLeguizamo: I hope #jillStein and #garyJohnson are happy! #Trump needs to thank them for his win!",FALSE,0,NA,2016-11-11 21:36:56,FALSE,NA,"797191402216038400",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PbSULAK",133,TRUE,FALSE,NA,NA
